100,Wheat,80,1,60
101,Wheat,80,1,60
102,Wheat,80,1,60
103,Wheat,80,1,60
104,Wheat,80,1,60
105,Wheat,80,1,60
106,Wheat,80,1,60
107,Wheat,80,1,60
108,Wheat,80,1,60
109,Wheat,80,1,60
200,Tomato,100,3,80
201,Tomato,100,3,80
202,Tomato,100,3,80
203,Tomato,100,3,80
204,Tomato,100,3,80
205,Tomato,100,3,80
206,Tomato,100,3,80
207,Tomato,100,3,80
208,Tomato,100,3,80
209,Tomato,100,3,80
300,Carrot,120,5,100
301,Carrot,120,5,100
302,Carrot,120,5,100
303,Carrot,120,5,100
304,Carrot,120,5,100
305,Carrot,120,5,100
306,Carrot,120,5,100
307,Carrot,120,5,100
308,Carrot,120,5,100
309,Carrot,120,5,100
